ParName   Value   Gradient
MGparm[2]      6.19635  2.21878e-05
MGparm[3]      34.9962   0.00026592
MGparm[4]     0.225623  4.26423e-05
MGparm[5]      2.60693 -1.98643e-05
MGparm[6]      2.30897  0.000728116
SR_parm[1]      15.1962  0.000184067
recdev_early(1963)    -0.423379 -1.22716e-05
recdev_early(1964)     -0.46604  -9.4433e-06
recdev_early(1965)    -0.511521   2.6379e-06
recdev_early(1966)    -0.559829  1.43556e-05
recdev_early(1967)    -0.610939  2.62476e-05
recdev_early(1968)     0.273812 -2.59819e-06
recdev_early(1969)     0.887794 -7.06636e-06
recdev_early(1970)     0.295916 -9.20827e-06
recdev_early(1971)    -0.320988  3.24433e-06
recdev_early(1972)    -0.981713  -3.7832e-06
recdev_early(1973)     -1.10103  -6.7148e-06
recdev_early(1974)     -1.10611 -7.83332e-06
recdev_early(1975)    -0.406003  6.73518e-06
recdev_early(1976)     0.172559 -3.43567e-06
recdev_early(1977)     0.103805  8.29715e-07
recdev1(1978)    -0.451576 -1.20436e-05
recdev1(1979)      1.34145 -1.33792e-06
recdev1(1980)     0.307723 -5.17149e-06
recdev1(1981)     -0.98482 -2.35491e-05
recdev1(1982)      2.97961  3.66275e-05
recdev1(1983)    -0.851381  8.31357e-06
recdev1(1984)    -0.710507  7.49932e-06
recdev1(1985)    -0.262222   2.6527e-06
recdev1(1986)    0.0284483  3.83651e-06
recdev1(1987)     0.764406  2.07762e-06
recdev1(1988)   -0.0838194  2.66732e-06
recdev1(1989)   -0.0592132 -2.48138e-06
recdev1(1990)    -0.424146  5.54754e-06
recdev1(1991)     0.281859  1.19033e-05
recdev1(1992)     0.988604  6.46349e-06
recdev1(1993)     0.965516  1.17486e-05
recdev1(1994)     0.967336  1.31034e-05
recdev1(1995)     0.589551  7.35957e-06
recdev1(1996)    -0.137747  6.34365e-06
recdev1(1997)    -0.554883 -6.29494e-06
recdev1(1998)   -0.0495272  8.88485e-06
recdev1(1999)    0.0442382  6.04317e-06
recdev1(2000)    -0.246847 -2.96231e-06
recdev1(2001)      1.70688 -7.66075e-07
recdev1(2002)    -0.270927 -2.11076e-06
recdev1(2003)    -0.496598  1.99476e-06
recdev1(2004)    -0.125239 -2.45423e-05
recdev1(2005)    -0.625845 -2.45111e-05
recdev1(2006)    -0.763109 -1.62765e-05
recdev1(2007)    -0.205111  2.09849e-06
recdev1(2008)     0.728596 -9.30296e-06
recdev1(2009)    -0.676352 -3.45412e-06
recdev1(2010)     -1.01292   1.7341e-06
recdev1(2011)     -1.58522 -1.34435e-06
recdev1(2012)    -0.169883 -6.15205e-07
recdev1(2013)    -0.946328 -3.75912e-06
Fcast_recruitments(2014)     0.394846 -1.30141e-05
Fcast_recruitments(2015)     0.051547   4.7792e-06
Fcast_recruitments(2016)     0.192316  1.79398e-06
Fcast_recruitments(2017)     0.633326 -3.76428e-06
Fcast_recruitments(2018)    0.0696126 -1.65074e-06
Fcast_recruitments(2019)            0            0
init_F[1]   0.00603522 -9.58288e-07
selparm[1]      28.7678  4.85561e-06
selparm[2]      3.00217  5.67187e-07
selparm[3]      4.54483  -2.0152e-05
selparm[13]      10.3375 -1.56339e-05
selparm[14]   -0.0503201  0.000474532
selparm[15]     -1.31208 -6.53371e-05
selparm[16]      1.16183  3.14922e-05
selparm[18]     -2.00777  1.34121e-05
