Year,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15
1982,0.015,0.054,0.09,0.142,0.178,0.227,0.273,0.276,0.292,0.305,0.369,0.348,0.348,0.348,0.356,0.366
1983,0.015,0.039,0.113,0.124,0.168,0.229,0.247,0.282,0.281,0.254,0.26,0.3,0.31,0.315,0.311,0.332
1984,0.015,0.034,0.073,0.089,0.13,0.176,0.216,0.245,0.278,0.262,0.259,0.255,0.344,0.232,0.306,0.308
1985,0.015,0.029,0.045,0.087,0.15,0.156,0.199,0.243,0.256,0.294,0.257,0.241,0.251,0.314,0.346,0.321
1986,0.015,0.029,0.045,0.11,0.107,0.171,0.196,0.223,0.251,0.296,0.28,0.319,0.287,0.345,0.26,0.36
1987,0.015,0.068,0.067,0.11,0.155,0.143,0.174,0.198,0.249,0.264,0.321,0.336,0.244,0.328,0.245,0.373
1988,0.015,0.031,0.075,0.114,0.132,0.147,0.157,0.24,0.304,0.335,0.386,0.434,0.404,0.331,0.392,0.424
1989,0.012,0.05,0.075,0.149,0.142,0.142,0.22,0.166,0.183,0.227,0.32,0.328,0.355,0.399,0.388,0.379
1990,0.015,0.032,0.031,0.09,0.124,0.126,0.129,0.202,0.183,0.227,0.32,0.328,0.355,0.399,0.388,0.379
1991,0.012,0.031,0.046,0.113,0.125,0.148,0.141,0.144,0.187,0.185,0.215,0.303,0.323,0.354,0.365,0.33
1992,0.008,0.014,0.092,0.117,0.139,0.143,0.157,0.163,0.172,0.235,0.222,0.288,0.306,0.359,0.393,0.401
1993,0.01,0.033,0.083,0.12,0.126,0.142,0.154,0.163,0.183,0.199,0.177,0.238,0.308,0.327,0.376,0.421
1994,0.021,0.037,0.052,0.106,0.124,0.158,0.153,0.167,0.194,0.199,0.28,0.275,0.24,0.326,0.342,0.383
1995,0.015,0.038,0.052,0.073,0.089,0.126,0.13,0.17,0.176,0.2,0.204,0.222,0.233,0.229,0.28,0.332
1996,0.015,0.059,.078,0.09,0.125,0.141,0.155,0.166,0.177,0.191,0.206,0.224,0.233,0.229,0.28,0.332
1997,0.017,0.039,0.075,0.093,0.109,0.142,0.179,0.189,0.199,0.209,0.234,0.24,0.246,0.272,0.309,0.288
1998,0.014,0.041,0.087,0.102,0.113,0.14,0.162,0.172,0.183,0.192,0.213,0.227,0.242,0.231,0.239,0.272
1999,0,0.05,0.089,0.108,0.121,0.14,0.162,0.186,0.203,0.21,0.217,0.132,0.29,0.276,0.263,0.362
2000,0.026,0.058,0.084,0.101,0.118,0.149,0.164,0.155,0.193,0.209,0.234,0.215,0.252,0.195,0.274,0.362
2001,0.018,0.045,0.071,0.104,0.113,0.129,0.139,0.151,0.169,0.195,0.223,0.227,0.296,0.277,0.271,0.304
2002,0.018,0.037,0.062,0.095,0.124,0.143,0.152,0.167,0.182,0.210,0.256,0.296,0.357,0.32,0.309,0.369
2003,0.041,0.062,0.061,0.082,0.127,0.149,0.172,0.167,0.178,0.189,0.220,0.275,0.363,0.315,0.331,0.379
2004,0.033,0.037,0.091,0.097,0.136,0.152,0.164,0.173,0.190,0.179,0.192,0.208,0.355,0.257,0.366,0.33
2005,0.022,0.030,0.059,0.085,0.106,0.157,0.184,0.214,0.209,0.203,0.237,0.229,0.300,0.309,0.342,0.410
2006,0.036,0.039,0.062,0.095,0.131,0.135,0.191,0.225,0.258,0.291,0.271,0.256,0.269,0.269,0.319,0.380
2007,0.013,0.05,0.088,0.105,0.120,0.141,0.161,0.181,0.219,0.249,0.278,0.272,0.302,0.292,0.306,0.352
2008,0.033,0.045,0.088,0.105,0.120,0.141,0.161,0.181,0.219,0.249,0.278,0.272,0.302,0.292,0.306,0.352
2009,0.031,0.041,0.072,0.095,0.121,0.160,0.177,0.219,0.226,0.279,0.311,0.396,0.404,0.308,0.355,0.446
2010,0.044,0.040,0.087,0.110,0.143,0.164,0.180,0.193,0.217,0.237,0.248,0.279,0.297,0.322,0.308,0.347
2011,0.034,0.048,0.087,0.111,0.134,0.164,0.182,0.192,0.211,0.228,0.255,0.304,0.303,0.299,0.346,0.363
2012,0.058,0.061,0.083,0.108,0.148,0.166,0.182,0.207,0.228,0.242,0.266,0.269,0.296,0.298,0.336,0.375
2013,0.039,0.056,0.089,0.112,0.141,0.163,0.191,0.226,0.235,0.254,0.250,0.287,0.294,0.316,0.368,0.388
2014,0.035,0.055,0.086,0.119,0.140,0.172,0.197,0.223,0.250,0.258,0.271,0.289,0.301,0.304,0.342,0.374
2015,0.020,0.015,0.075,0.113,0.139,0.162,0.196,0.220,0.246,0.263,0.279,0.312,0.298,0.317,0.322,0.339
2016,0.016,0.024,0.076,0.110,0.153,0.177,0.193,0.228,0.241,0.262,0.286,0.294,0.311,0.323,0.327,0.34
2017,0.013,0.013,0.055,0.097,0.136,0.193,0.196,0.223,0.257,0.268,0.289,0.312,0.328,0.324,0.339,0.344
2018,0.015,0.032,0.064,0.088,0.115,0.145,0.184,0.199,0.224,0.246,0.269,0.277,0.319,0.320,0.331,0.287
