ParName   Value   Gradient
MGparm[2]      6.24584    0.0280742
MGparm[3]      34.8472   -0.0490017
MGparm[4]     0.233265   -0.0411415
MGparm[5]      2.60184    0.0303119
MGparm[6]      2.25271    0.0033956
SR_parm[1]      15.2012    -0.101561
recdev_early(1963)     -0.12802   -0.0348914
recdev_early(1964)    -0.142953    -0.011018
recdev_early(1965)    -0.159483    0.0183743
recdev_early(1966)    -0.183687   -0.0141516
recdev_early(1967)    -0.207327   -0.0141235
recdev_early(1968)    0.0624774   -0.0308073
recdev_early(1969)     0.454412   -0.0112911
recdev_early(1970)     0.106295  -0.00751606
recdev_early(1971)    -0.199287    0.0130522
recdev_early(1972)    -0.471872   -0.0397648
recdev_early(1973)    -0.539805    0.0203557
recdev_early(1974)    -0.576562  -0.00955698
recdev_early(1975)    -0.315309  -0.00410502
recdev_early(1976)     0.025189   -0.0176304
recdev_early(1977)   -0.0290754   -0.0140807
recdev1(1978)    -0.407574   0.00633889
recdev1(1979)      1.08239    0.0209924
recdev1(1980)     0.120658  -0.00467743
recdev1(1981)    -0.683895    0.0226079
recdev1(1982)      2.77166    0.0165045
recdev1(1983)    -0.617129  -0.00619229
recdev1(1984)    -0.544503  -0.00459095
recdev1(1985)    -0.279176    0.0159197
recdev1(1986)   -0.0362713   0.00968329
recdev1(1987)     0.746947  -0.00166647
recdev1(1988)     0.390759    0.0209929
recdev1(1989)     0.230097   -0.0203882
recdev1(1990)    -0.298499    0.0138741
recdev1(1991)     0.295992    0.0162435
recdev1(1992)      1.07406     -0.01766
recdev1(1993)     0.925614    0.0159478
recdev1(1994)     0.808391    0.0681772
recdev1(1995)       0.4405   -0.0135001
recdev1(1996)    -0.193376   -0.0114553
recdev1(1997)    -0.552214   -0.0227226
recdev1(1998)    0.0294252    -0.043117
recdev1(1999)    0.0180929   -0.0497989
recdev1(2000)    -0.335946    0.0225238
recdev1(2001)      1.49668   0.00641874
recdev1(2002)   -0.0707849    0.0042118
recdev1(2003)    -0.752568     0.015188
recdev1(2004)   -0.0738381   -0.0119148
recdev1(2005)    -0.513021   -0.0127678
recdev1(2006)    -0.717469    0.0273805
recdev1(2007)    -0.218069   -0.0450831
recdev1(2008)     0.631185    0.0234863
recdev1(2009)    -0.740977    0.0321381
recdev1(2010)     -1.01705   -0.0608289
recdev1(2011)     -1.95883    0.0253921
recdev1(2012)   -0.0899992    0.0260518
recdev1(2013)    -0.961261   -0.0325601
Fcast_recruitments(2014)     0.305221   -0.0198493
Fcast_recruitments(2015)  -0.00715877    0.0177343
Fcast_recruitments(2016)    0.0617209    0.0375408
Fcast_recruitments(2017)     0.345065     0.027842
Fcast_recruitments(2018)    0.0595038    0.0372591
Fcast_recruitments(2019)    -0.558995    0.0100174
Fcast_recruitments(2020)            0            0
init_F[1]   0.00589939    0.0328896
selparm[1]      29.5287   -0.0397783
selparm[2]      3.00223   5.8237e-07
selparm[3]      4.66721     0.151415
selparm[13]       10.333    -0.180984
selparm[14]   -0.0569623   -0.0514148
selparm[15]     -1.29719    0.0791306
selparm[16]      1.18292   0.00280773
selparm[18]     -2.02426   -0.0138371
