Ffactor,Fbar,Catch_2017,Catch_2018,Catch_2019,Catch_2020,SSB_2018,SSB_2019,SSB_2020,Change_SSB_2019-2020(%),Change_Catch_2018-2019(%)
0,0,82961.0552536913,97000,0,0,904098.270639837,957783.583487924,1130342.92907328,18.0165278002523,-100
0.01,0.000668959151852137,82961.0552536913,97000,968.166199779641,1115.41170847763,904098.270639837,957783.583487924,1129499.82936235,17.9285016818824,-99.0018905156911
0.02,0.00133791830370427,82961.0552536913,97000,1935.62777162294,2228.47952426134,904098.270639837,957783.583487924,1128657.39119458,17.840544633725,-98.0045074519351
0.03,0.00200687745555641,82961.0552536913,97000,2902.38526741668,3339.20762877108,904098.270639837,957783.583487924,1127815.61403389,17.7526565998103,-97.0078502397766
0.04,0.00267583660740855,82961.0552536913,97000,3868.4392385984,4447.60019626175,904098.270639837,957783.583487924,1126974.49734467,17.6648375242149,-96.0119183107233
0.05,0.00334479575926068,82961.0552536913,97000,4833.79023615681,5553.66139383534,904098.270639837,957783.583487924,1126134.04059173,17.5770873510618,-95.0167110967456
0.06,0.00401375491111282,82961.0552536913,97000,5798.43881063217,6657.39538145308,904098.270639837,957783.583487924,1125294.24324033,17.4894060245202,-94.0222280302761
0.07,0.00468271406296496,82961.0552536913,97000,6762.38551211661,7758.80631194755,904098.270639837,957783.583487924,1124455.10475617,17.4017934888053,-93.0284685442097
0.08,0.00535167321481709,82961.0552536913,97000,7725.63089025457,8857.8983310348,904098.270639837,957783.583487924,1123616.62460541,17.3142496881788,-92.0354320719025
0.09,0.00602063236666923,82961.0552536913,97000,8688.17549424313,9954.6755773264,904098.270639837,957783.583487924,1122778.80225463,17.2267745669484,-91.043118047172
0.1,0.00668959151852136,82961.0552536913,97000,9650.0198728324,11049.1421823415,904098.270639837,957783.583487924,1121941.63717086,17.1393680694678,-90.0515259042965
0.11,0.0073585506703735,82961.0552536913,97000,10611.1645743259,12141.3022705191,904098.270639837,957783.583487924,1121105.12882157,17.0520301401371,-89.0606550780146
0.12,0.00802750982222564,82961.0552536913,97000,11571.6101465808,13231.1599592294,904098.270639837,957783.583487924,1120269.27667468,16.964760723402,-88.0705050035249
0.13,0.00869646897407778,82961.0552536913,97000,12531.3571370087,14318.7193587867,904098.270639837,957783.583487924,1119434.08019853,16.8775597637544,-87.0810751164859
0.14,0.00936542812592991,82961.0552536913,97000,13490.4060925753,15403.9845724607,904098.270639837,957783.583487924,1118599.53886192,16.7904272057323,-86.0923648530152
0.15,0.010034387277782,82961.0552536913,97000,14448.7575598015,16486.9596964888,904098.270639837,957783.583487924,1117765.65213408,16.7033629939193,-85.1043736496892
0.16,0.0107033464296342,82961.0552536913,97000,15406.4120847634,17567.6488200878,904098.270639837,957783.583487924,1116932.41948468,16.616367072945,-84.1171009435429
0.17,0.0113723055814863,82961.0552536913,97000,16363.3702130927,18646.0560254661,904098.270639837,957783.583487924,1116099.84038384,16.529439387485,-83.1305461720694
0.18,0.0120412647333385,82961.0552536913,97000,17319.6324899769,19722.1853878353,904098.270639837,957783.583487924,1115267.9143021,16.4425798822605,-82.1447087732196
0.19,0.0127102238851906,82961.0552536913,97000,18275.1994601602,20796.0409754223,904098.270639837,957783.583487924,1114436.64071045,16.3557885020384,-81.1595881854018
0.2,0.0133791830370427,82961.0552536913,97000,19230.0716679433,21867.6268494811,904098.270639837,957783.583487924,1113606.01908032,16.2690651916315,-80.1751838474811
0.21,0.0140481421888949,82961.0552536913,97000,20184.2496571841,22936.9470643044,904098.270639837,957783.583487924,1112776.04888356,16.1824098958982,-79.1914951987793
0.22,0.014717101340747,82961.0552536913,97000,21137.7339712979,24004.0056672359,904098.270639837,957783.583487924,1111946.72959248,16.0958225597426,-78.2085216790744
0.23,0.0153860604925991,82961.0552536913,97000,22090.5251532578,25068.8066986816,904098.270639837,957783.583487924,1111118.06067982,16.0093031281143,-77.2262627286002
0.24,0.0160550196444513,82961.0552536913,97000,23042.6237455954,26131.354192122,904098.270639837,957783.583487924,1110290.04161875,15.9228515460084,-76.244717788046
0.25,0.0167239787963034,82961.0552536913,97000,23994.0302904004,27191.6521741235,904098.270639837,957783.583487924,1109462.67188287,15.8364677584658,-75.2638862985563
0.26,0.0173929379481556,82961.0552536913,97000,24944.7453293218,28249.7046643504,904098.270639837,957783.583487924,1108635.95094623,15.7501517105727,-74.2837677017301
0.27,0.0180618971000077,82961.0552536913,97000,25894.7694035678,29305.5156755763,904098.270639837,957783.583487924,1107809.87828332,15.6639033474607,-73.3043614396208
0.28,0.0187308562518598,82961.0552536913,97000,26844.1030539063,30359.0892136962,904098.270639837,957783.583487924,1106984.45336904,15.577722614307,-72.3256669547358
0.29,0.019399815403712,82961.0552536913,97000,27792.7468206652,31410.4292777379,904098.270639837,957783.583487924,1106159.67567875,15.4916094563339,-71.3476836900359
0.3,0.0200687745555641,82961.0552536913,97000,28740.7012437329,32459.5398598738,904098.270639837,957783.583487924,1105335.54468824,15.4055638188093,-70.3704110889352
0.31,0.0207377337074162,82961.0552536913,97000,29687.9668625583,33506.4249454324,904098.270639837,957783.583487924,1104512.05987371,15.3195856470463,-69.3938485953007
0.32,0.0214066928592684,82961.0552536913,97000,30634.5442161519,34551.0885129099,904098.270639837,957783.583487924,1103689.22071182,15.2336748864032,-68.4179956534517
0.33,0.0220756520111205,82961.0552536913,97000,31580.4338430852,35593.5345339821,904098.270639837,957783.583487924,1102867.02667965,15.1478314822836,-67.4428517081596
0.34,0.0227446111629726,82961.0552536913,97000,32525.6362814919,36633.7669735155,904098.270639837,957783.583487924,1102045.47725473,15.0620553801362,-66.4684162046475
0.35,0.0234135703148248,82961.0552536913,97000,33470.1520690679,37671.7897895794,904098.270639837,957783.583487924,1101224.571915,14.976346525455,-65.4946885885898
0.36,0.0240825294666769,82961.0552536913,97000,34413.9817430717,38707.606933457,904098.270639837,957783.583487924,1100404.31013884,14.890704863779,-64.5216683061117
0.37,0.024751488618529,82961.0552536913,97000,35357.1258403246,39741.2223496571,904098.270639837,957783.583487924,1099584.69140506,14.8051303406921,-63.5493548037891
0.38,0.0254204477703812,82961.0552536913,97000,36299.5848972113,40772.6399759254,904098.270639837,957783.583487924,1098765.71519292,14.7196229018236,-62.5777475286482
0.39,0.0260894069222333,82961.0552536913,97000,37241.3594496803,41801.8637432565,904098.270639837,957783.583487924,1097947.38098208,14.6341824928476,-61.6068459281646
0.4,0.0267583660740855,82961.0552536913,97000,38182.4500332442,42828.8975759048,904098.270639837,957783.583487924,1097129.68825266,14.548809059483,-60.6366494502638
0.41,0.0274273252259376,82961.0552536913,97000,39122.8571829796,43853.7453913961,904098.270639837,957783.583487924,1096312.63648518,14.4635025474939,-59.66715754332
0.42,0.0280962843777897,82961.0552536913,97000,40062.5814335285,44876.4111005392,904098.270639837,957783.583487924,1095496.22516062,14.3782629026892,-58.6983696561562
0.43,0.0287652435296419,82961.0552536913,97000,41001.6233190975,45896.8986074371,904098.270639837,957783.583487924,1094680.45376036,14.2930900709224,-57.7302852380439
0.44,0.029434202681494,82961.0552536913,97000,41939.9833734589,46915.2118094986,904098.270639837,957783.583487924,1093865.32176624,14.2079839980922,-56.7629037387021
0.45,0.0301031618333461,82961.0552536913,97000,42877.6621299511,47931.3545974493,904098.270639837,957783.583487924,1093050.82866051,14.1229446301418,-55.7962246082979
0.46,0.0307721209851983,82961.0552536913,97000,43814.6601214783,48945.3308553434,904098.270639837,957783.583487924,1092236.97392585,14.0379719130591,-54.8302472974451
0.47,0.0314410801370504,82961.0552536913,97000,44750.9778805116,49957.1444605746,904098.270639837,957783.583487924,1091423.75704537,13.953065792877,-53.8649712572045
0.48,0.0321100392889026,82961.0552536913,97000,45686.6159390889,50966.7992838876,904098.270639837,957783.583487924,1090611.17750261,13.8682262156727,-52.9003959390836
0.49,0.0327789984407547,82961.0552536913,97000,46621.5748288155,51974.2991893895,904098.270639837,957783.583487924,1089799.23478152,13.7834531275681,-51.9365207950356
0.5,0.0334479575926068,82961.0552536913,97000,47555.8550808642,52979.6480345609,904098.270639837,957783.583487924,1088987.92836652,13.6987464747299,-50.9733452774596
0.51,0.034116916744459,82961.0552536913,97000,48489.4572259761,53982.8496702672,904098.270639837,957783.583487924,1088177.25774241,13.6141062033692,-50.0108688391999
0.52,0.0347858758963111,82961.0552536913,97000,49422.3817944605,54983.9079407698,904098.270639837,957783.583487924,1087367.22239443,13.5295322597414,-49.0490909335459
0.53,0.0354548350481632,82961.0552536913,97000,50354.6293161954,55982.8266837374,904098.270639837,957783.583487924,1086557.82180826,13.4450245901466,-48.0880110142316
0.54,0.0361237942000154,82961.0552536913,97000,51286.200320628,56979.609730257,904098.270639837,957783.583487924,1085749.05547,13.3605831409295,-47.127628535435
0.55,0.0367927533518675,82961.0552536913,97000,52217.0953367751,57974.2609048452,904098.270639837,957783.583487924,1084940.92286617,13.2762078584788,-46.1679429517783
0.56,0.0374617125037196,82961.0552536913,97000,53147.3148932229,58966.7840254595,904098.270639837,957783.583487924,1084133.42348371,13.1918986892277,-45.2089537183269
0.57,0.0381306716555718,82961.0552536913,97000,54076.8595181283,59957.1829035093,904098.270639837,957783.583487924,1083326.55680999,13.1076555796538,-44.2506602905894
0.58,0.0387996308074239,82961.0552536913,97000,55005.7297392184,60945.4613438667,904098.270639837,957783.583487924,1082520.32233281,13.0234784762789,-43.2930621245171
0.59,0.0394685899592761,82961.0552536913,97000,55933.9260837913,61931.6231448782,904098.270639837,957783.583487924,1081714.71954038,12.9393673256692,-42.3361586765039
0.6,0.0401375491111282,82961.0552536913,97000,56861.4490787162,62915.6720983753,904098.270639837,957783.583487924,1080909.74792136,12.8553220744349,-41.3799494033853
0.61,0.0408065082629803,82961.0552536913,97000,57788.2992504343,63897.6119896858,904098.270639837,957783.583487924,1080105.4069648,12.7713426692305,-40.4244337624389
0.62,0.0414754674148325,82961.0552536913,97000,58714.4771249582,64877.4465976447,904098.270639837,957783.583487924,1079301.6961602,12.6874290567544,-39.4696112113833
0.63,0.0421444265666846,82961.0552536913,97000,59639.9832278735,65855.1796946055,904098.270639837,957783.583487924,1078498.61499745,12.6035811837495,-38.5154812083779
0.64,0.0428133857185367,82961.0552536913,97000,60564.8180843378,66830.8150464507,904098.270639837,957783.583487924,1077696.1629669,12.5197989970025,-37.5620432120229
0.65,0.0434823448703889,82961.0552536913,97000,61488.9822190822,67804.3564126032,904098.270639837,957783.583487924,1076894.3395593,12.4360824433441,-36.6092966813586
0.66,0.044151304022241,82961.0552536913,97000,62412.4761564109,68775.8075460371,904098.270639837,957783.583487924,1076093.14426582,12.352431469649,-35.657241075865
0.67,0.0448202631740931,82961.0552536913,97000,63335.3004202022,69745.1721932888,904098.270639837,957783.583487924,1075292.57657806,12.268846022836,-34.7058758554617
0.68,0.0454892223259453,82961.0552536913,97000,64257.455533908,70712.4540944678,904098.270639837,957783.583487924,1074492.63598803,12.1853260498676,-33.7552004805072
