Ffactor,Fbar,Catch_2017,Catch_2018,Catch_2019,Catch_2020,SSB_2018,SSB_2019,SSB_2020,Change_SSB_2019-2020(%),Change_Catch_2018-2019(%)
0,0,82961.0552536913,55000,0,0,904098.270639837,994162.300988124,1168340.00240794,17.5200469024719,-100
0.01,0.000668959151852137,82961.0552536913,55000,1001.02141362091,1148.80356676663,904098.270639837,994162.300988124,1167466.31064717,17.4321646965281,-98.1799610661438
0.02,0.00133791830370427,82961.0552536913,55000,2001.31208983724,2295.18329673797,904098.270639837,994162.300988124,1166593.30565415,17.3443515706285,-96.3612507457505
0.03,0.00200687745555641,82961.0552536913,55000,3000.87260203138,3439.1435243982,904098.270639837,994162.300988124,1165720.98687169,17.2566074687249,-94.5438679963066
0.04,0.00267583660740855,82961.0552536913,55000,3999.70352311849,4580.68857679241,904098.270639837,994162.300988124,1164849.35374302,17.1689323348153,-92.7278117761482
0.05,0.00334479575926068,82961.0552536913,55000,4997.80542554682,5719.82277353923,904098.270639837,994162.300988124,1163978.40571186,17.0813261129443,-90.9130810444603
0.06,0.00401375491111282,82961.0552536913,55000,5995.17888129816,6856.55042684345,904098.270639837,994162.300988124,1163108.14222238,16.9937887472029,-89.0996747612761
0.07,0.00468271406296496,82961.0552536913,55000,6991.8244618882,7990.87584150864,904098.270639837,994162.300988124,1162238.56271921,16.9063201817283,-87.287591887476
0.08,0.00535167321481709,82961.0552536913,55000,7987.74273836689,9122.8033149497,904098.270639837,994162.300988124,1161369.66664746,16.818920360704,-85.4768313847875
0.09,0.00602063236666923,82961.0552536913,55000,8982.93428131891,10252.3371372054,904098.270639837,994162.300988124,1160501.45345267,16.7315892283599,-83.6673922157838
0.1,0.00668959151852136,82961.0552536913,55000,9977.39966086395,11379.4815909511,904098.270639837,994162.300988124,1159633.92258085,16.6443267289719,-81.8592733438837
0.11,0.0073585506703735,82961.0552536913,55000,10971.1394466572,12504.2409515109,904098.270639837,994162.300988124,1158767.07347849,16.5571328068623,-80.0524737333505
0.12,0.00802750982222564,82961.0552536913,55000,11964.1542078897,13626.6194868703,904098.270639837,994162.300988124,1157900.9055925,16.4700074063993,-78.2469923492915
0.13,0.00869646897407778,82961.0552536913,55000,12956.4445132886,14746.621457689,904098.270639837,994162.300988124,1157035.41837028,16.3829504719973,-76.4428281576571
0.14,0.00936542812592991,82961.0552536913,55000,13948.0109311178,15864.2511173129,904098.270639837,994162.300988124,1156170.61125967,16.2959619481168,-74.6399801252404
0.15,0.010034387277782,82961.0552536913,55000,14938.8540291782,16979.5127117865,904098.270639837,994162.300988124,1155306.48370899,16.2090417792643,-72.8384472196761
0.16,0.0107033464296342,82961.0552536913,55000,15928.9743748079,18092.4104798658,904098.270639837,994162.300988124,1154443.03516698,16.1221899099922,-71.0382284094401
0.17,0.0113723055814863,82961.0552536913,55000,16918.3725348831,19202.9486530302,904098.270639837,994162.300988124,1153580.26508287,16.035406284899,-69.2393226638489
0.18,0.0120412647333385,82961.0552536913,55000,17907.0490758179,20311.1314554951,904098.270639837,994162.300988124,1152718.17290634,15.9486908486289,-67.4417289530584
0.19,0.0127102238851906,82961.0552536913,55000,18895.0045635649,21416.9631042241,904098.270639837,994162.300988124,1151856.7580875,15.862043545872,-65.6454462480638
