Ffactor,Fbar,Catch_2017,Catch_2018,Catch_2019,Catch_2020,SSB_2018,SSB_2019,SSB_2020,Change_SSB_2019-2020(%),Change_Catch_2018-2019(%)
0,0,82961.0552536913,175000,0,0,904098.270639837,890530.629262935,1059871.71332379,19.0157506655345,-100
0.01,0.000668959151852137,82961.0552536913,175000,907.303226912068,1053.4012229799,904098.270639837,890530.629262935,1059085.23392449,18.9274348487105,-99.4815410131931
0.02,0.00133791830370427,82961.0552536913,175000,1813.95009716167,2104.60666332007,904098.270639837,890530.629262935,1058299.36945187,18.8391880836023,-98.9634570873362
0.03,0.00200687745555641,82961.0552536913,175000,2719.94112294781,3153.62021932264,904098.270639837,890530.629262935,1057514.11940888,18.751010314396,-98.4457479297441
0.04,0.00267583660740855,82961.0552536913,175000,3625.27681605355,4200.44578263097,904098.270639837,890530.629262935,1056729.48329891,18.6629014853236,-97.9284132479694
0.05,0.00334479575926068,82961.0552536913,175000,4529.95768784639,5245.08723824085,904098.270639837,890530.629262935,1055945.46062572,18.5748615406635,-97.4114527498021
0.06,0.00401375491111282,82961.0552536913,175000,5433.9842492786,6287.54846451185,904098.270639837,890530.629262935,1055162.05089352,18.4868904247398,-96.8948661432694
0.07,0.00468271406296496,82961.0552536913,175000,6337.35701088756,7327.8333331785,904098.270639837,890530.629262935,1054379.2536069,18.3989880819229,-96.3786531366357
0.08,0.00535167321481709,82961.0552536913,175000,7240.07648279611,8365.94570936153,904098.270639837,890530.629262935,1053597.06827086,18.311154456629,-95.8628134384022
0.09,0.00602063236666923,82961.0552536913,175000,8142.14317471291,9401.88945157907,904098.270639837,890530.629262935,1052815.49439084,18.2233894933203,-95.3473467573069
0.1,0.00668959151852136,82961.0552536913,175000,9043.55759593273,10435.6684117578,904098.270639837,890530.629262935,1052034.53147265,18.1356931365048,-94.8322528023241
0.11,0.0073585506703735,82961.0552536913,175000,9944.32025533688,11467.2864352443,904098.270639837,890530.629262935,1051254.17902253,18.0480653307365,-94.3175312826646
0.12,0.00802750982222564,82961.0552536913,175000,10844.4316613935,12496.7473608158,904098.270639837,890530.629262935,1050474.43654713,17.9605060206151,-93.8031819077752
0.13,0.00869646897407778,82961.0552536913,175000,11743.8923221578,13524.0550206916,904098.270639837,890530.629262935,1049695.30355349,17.8730151507861,-93.2892043873384
0.14,0.00936542812592991,82961.0552536913,175000,12642.7027452727,14549.2132405444,904098.270639837,890530.629262935,1048916.77954908,17.7855926659408,-92.7755984312727
0.15,0.010034387277782,82961.0552536913,175000,13540.8634379689,15572.2258395109,904098.270639837,890530.629262935,1048138.86404176,17.6982385108161,-92.262363749732
0.16,0.0107033464296342,82961.0552536913,175000,14438.3749070653,16593.0966302029,904098.270639837,890530.629262935,1047361.5565398,17.6109526301946,-91.7495000531055
0.17,0.0113723055814863,82961.0552536913,175000,15335.2376589693,17611.8294187189,904098.270639837,890530.629262935,1046584.85655189,17.5237349689046,-91.2370070520176
0.18,0.0120412647333385,82961.0552536913,175000,16231.4521996772,18628.4280046545,904098.270639837,890530.629262935,1045808.7635871,17.4365854718198,-90.7248844573273
0.19,0.0127102238851906,82961.0552536913,175000,17127.0190347747,19642.8961811138,904098.270639837,890530.629262935,1045033.27715493,17.3495040838597,-90.2131319801287
0.2,0.0133791830370427,82961.0552536913,175000,18021.9386694369,20655.2377347203,904098.270639837,890530.629262935,1044258.39676527,17.2624907499891,-89.7017493317503
0.21,0.0140481421888949,82961.0552536913,175000,18916.2116084289,21665.4564456278,904098.270639837,890530.629262935,1043484.12192842,17.1755454152183,-89.1907362237549
0.22,0.014717101340747,82961.0552536913,175000,19809.8383561059,22673.5560875313,904098.270639837,890530.629262935,1042710.45215509,17.088668024603,-88.6800923679395
0.23,0.0153860604925991,82961.0552536913,175000,20702.819416414,23679.5404276782,904098.270639837,890530.629262935,1041937.38695638,17.0018585232446,-88.1698174763348
0.24,0.0160550196444513,82961.0552536913,175000,21595.15529289,24683.4132268791,904098.270639837,890530.629262935,1041164.92584381,16.9151168562894,-87.6599112612057
0.25,0.0167239787963034,82961.0552536913,175000,22486.8464886621,25685.1782395185,904098.270639837,890530.629262935,1040393.0683293,16.8284429689294,-87.1503734350503
0.26,0.0173929379481556,82961.0552536913,175000,23377.8935064499,26684.839213566,904098.270639837,890530.629262935,1039621.81392516,16.7418368064015,-86.6412037106001
0.27,0.0180618971000077,82961.0552536913,175000,24268.2968485652,27682.3998905869,904098.270639837,890530.629262935,1038851.16214411,16.6552983139882,-86.1324018008199
0.28,0.0187308562518598,82961.0552536913,175000,25158.0570169121,28677.8640057533,904098.270639837,890530.629262935,1038081.11249929,16.5688274370171,-85.6239674189073
0.29,0.019399815403712,82961.0552536913,175000,26047.1745129872,29671.2352878546,904098.270639837,890530.629262935,1037311.66450422,16.4824241208608,-85.115900278293
0.3,0.0200687745555641,82961.0552536913,175000,26935.6498378801,30662.5174593087,904098.270639837,890530.629262935,1036542.81767283,16.3960883109372,-84.6082000926399
0.31,0.0207377337074162,82961.0552536913,175000,27823.4834922738,31651.7142361725,904098.270639837,890530.629262935,1035774.57151945,16.3098199527092,-84.1008665758435
0.32,0.0214066928592684,82961.0552536913,175000,28710.6759764448,32638.8293281527,904098.270639837,890530.629262935,1035006.92555881,16.2236189916849,-83.5938994420315
0.33,0.0220756520111205,82961.0552536913,175000,29597.2277902637,33623.8664386168,904098.270639837,890530.629262935,1034239.87930604,16.1374853734171,-83.0872984055636
0.34,0.0227446111629726,82961.0552536913,175000,30483.1394331955,34606.8292646035,904098.270639837,890530.629262935,1033473.43227668,16.051419043504,-82.5810631810311
0.35,0.0234135703148248,82961.0552536913,175000,31368.4114042996,35587.7214968336,904098.270639837,890530.629262935,1032707.58398666,15.9654199475884,-82.0751934832574
0.36,0.0240825294666769,82961.0552536913,175000,32253.0442022308,36566.5468197207,904098.270639837,890530.629262935,1031942.33395232,15.8794880313581,-81.5696890272967
0.37,0.024751488618529,82961.0552536913,175000,33137.0383252387,37543.3089113819,904098.270639837,890530.629262935,1031177.68169039,15.7936232405459,-81.064549528435
0.38,0.0254204477703812,82961.0552536913,175000,34020.3942711691,38518.0114436483,904098.270639837,890530.629262935,1030413.62671799,15.7078255209292,-80.5597747021891
0.39,0.0260894069222333,82961.0552536913,175000,34903.1125374635,39490.6580820759,904098.270639837,890530.629262935,1029650.16855266,15.6220948183302,-80.0553642643066
0.4,0.0267583660740855,82961.0552536913,175000,35785.1936211598,40461.2524859561,904098.270639837,890530.629262935,1028887.30671234,15.5364310786162,-79.5513179307658
0.41,0.0274273252259376,82961.0552536913,175000,36666.6380188926,41429.7983083261,904098.270639837,890530.629262935,1028125.04071534,15.4508342476987,-79.0476354177756
0.42,0.0280962843777897,82961.0552536913,175000,37547.4462268936,42396.29919598,904098.270639837,890530.629262935,1027363.37008039,15.3653042715343,-78.5443164417751
0.43,0.0287652435296419,82961.0552536913,175000,38427.6187409918,43360.7587894787,904098.270639837,890530.629262935,1026602.29432662,15.279841096124,-78.0413607194333
0.44,0.029434202681494,82961.0552536913,175000,39307.1560566136,44323.1807231613,904098.270639837,890530.629262935,1025841.81297355,15.1944446675134,-77.5387679676494
0.45,0.0301031618333461,82961.0552536913,175000,40186.058668784,45283.5686251547,904098.270639837,890530.629262935,1025081.92554109,15.1091149317929,-77.036537903552
0.46,0.0307721209851983,82961.0552536913,175000,41064.3270721257,46241.9261173848,904098.270639837,890530.629262935,1024322.63154956,15.0238518350971,-76.5346702444996
0.47,0.0314410801370504,82961.0552536913,175000,41941.9617608607,47198.256815587,904098.270639837,890530.629262935,1023563.93051966,14.9386553236053,-76.0331647080796
0.48,0.0321100392889026,82961.0552536913,175000,42818.9632288095,48152.5643293159,904098.270639837,890530.629262935,1022805.8219725,14.8535253435412,-75.5320210121089
0.49,0.0327789984407547,82961.0552536913,175000,43695.3319693922,49104.8522619569,904098.270639837,890530.629262935,1022048.30542959,14.7684618411729,-75.031238874633
0.5,0.0334479575926068,82961.0552536913,175000,44571.0684756287,50055.1242107359,904098.270639837,890530.629262935,1021291.38041281,14.6834647628129,-74.5308180139264
0.51,0.034116916744459,82961.0552536913,175000,45446.1732401387,51003.3837667297,904098.270639837,890530.629262935,1020535.04644447,14.598534054818,-74.0307581484922
0.52,0.0347858758963111,82961.0552536913,175000,46320.6467551424,51949.634514877,904098.270639837,890530.629262935,1019779.30304724,14.5136696635893,-73.5310589970615
0.53,0.0354548350481632,82961.0552536913,175000,47194.4895124604,52893.8800339881,904098.270639837,890530.629262935,1019024.14974421,14.4288715355723,-73.0317202785941
0.54,0.0361237942000154,82961.0552536913,175000,48067.7020035148,53836.123896756,904098.270639837,890530.629262935,1018269.58605884,14.3441396172564,-72.5327417122773
0.55,0.0367927533518675,82961.0552536913,175000,48940.2847193285,54776.3696697658,904098.270639837,890530.629262935,1017515.61151501,14.2594738551756,-72.0341230175266
0.56,0.0374617125037196,82961.0552536913,175000,49812.2381505266,55714.6209135062,904098.270639837,890530.629262935,1016762.22563698,14.1748741959078,-71.5358639139848
0.57,0.0381306716555718,82961.0552536913,175000,50683.5627873358,56650.8811823788,904098.270639837,890530.629262935,1016009.4279494,14.090340586075,-71.0379641215224
0.58,0.0387996308074239,82961.0552536913,175000,51554.2591195854,57585.1540247091,904098.270639837,890530.629262935,1015257.21797731,14.0058729723435,-70.5404233602369
0.59,0.0394685899592761,82961.0552536913,175000,52424.3276367071,58517.4429827564,904098.270639837,890530.629262935,1014505.59524616,13.9214713014233,-70.0432413504531
0.6,0.0401375491111282,82961.0552536913,175000,53293.7688277359,59447.7515927242,904098.270639837,890530.629262935,1013754.55928177,13.8371355200688,-69.5464178127223
0.61,0.0408065082629803,82961.0552536913,175000,54162.5831813099,60376.0833847707,904098.270639837,890530.629262935,1013004.10961036,13.7528655750781,-69.0499524678229
0.62,0.0414754674148325,82961.0552536913,175000,55030.7711856711,61302.4418830185,904098.270639837,890530.629262935,1012254.24575856,13.6686614132932,-68.5538450367594
0.63,0.0421444265666846,82961.0552536913,175000,55898.3333286651,62226.8306055653,904098.270639837,890530.629262935,1011504.96725335,13.5845229816002,-68.0580952407628
0.64,0.0428133857185367,82961.0552536913,175000,56765.2700977422,63149.2530644938,904098.270639837,890530.629262935,1010756.27362214,13.500450226929,-67.5627028012902
0.65,0.0434823448703889,82961.0552536913,175000,57631.5819799572,64069.7127658821,904098.270639837,890530.629262935,1010008.1643927,13.4164430962531,-67.0676674400245
0.66,0.044151304022241,82961.0552536913,175000,58497.2694619698,64988.2132098138,904098.270639837,890530.629262935,1009260.63909322,13.3325015365901,-66.5729888788744
0.67,0.0448202631740931,82961.0552536913,175000,59362.3330300451,65904.7578903881,904098.270639837,890530.629262935,1008513.69725226,13.2486254950011,-66.0786668399742
0.68,0.0454892223259453,82961.0552536913,175000,60226.7731700538,66819.3502957299,904098.270639837,890530.629262935,1007767.33839877,13.1648149185912,-65.5847010456835
0.69,0.0461581814777974,82961.0552536913,175000,61090.5903674725,67731.9939080002,904098.270639837,890530.629262935,1007021.56206209,13.0810697545088,-65.0910912185871
0.7,0.0468271406296496,82961.0552536913,175000,61953.7851073843,68642.6922034058,904098.270639837,890530.629262935,1006276.36777195,12.9973899499462,-64.5978370814947
0.71,0.0474960997815017,82961.0552536913,175000,62816.3578744785,69551.4486522096,904098.270639837,890530.629262935,1005531.75505847,12.9137754521392,-64.1049383574409
0.72,0.0481650589333538,82961.0552536913,175000,63678.3091530518,70458.2667187406,904098.270639837,890530.629262935,1004787.72345217,12.8302262083672,-63.6123947696847
0.73,0.048834018085206,82961.0552536913,175000,64539.6394270078,71363.1498614041,904098.270639837,890530.629262935,1004044.27248392,12.7467421659531,-63.1202060417098
0.74,0.0495029772370581,82961.0552536913,175000,65400.3491798579,72266.1015326915,904098.270639837,890530.629262935,1003301.40168502,12.6633232722635,-62.6283718972241
0.75,0.0501719363889102,82961.0552536913,175000,66260.4388947214,73167.1251791907,904098.270639837,890530.629262935,1002559.11058714,12.579969474708,-62.1368920601592
0.76,0.0508408955407624,82961.0552536913,175000,67119.9090543257,74066.2242415954,904098.270639837,890530.629262935,1001817.39872232,12.49668072074,-61.645766254671
0.77,0.0515098546926145,82961.0552536913,175000,67978.7601410069,74963.4021547157,904098.270639837,890530.629262935,1001076.26562302,12.4134569578561,-61.1549942051389
0.78,0.0521788138444666,82961.0552536913,175000,68836.99263671,75858.6623474882,904098.270639837,890530.629262935,1000335.71082205,12.3302981335965,-60.6645756361657
0.79,0.0528477729963188,82961.0552536913,175000,69694.6070229892,76752.0082429851,904098.270639837,890530.629262935,999595.733852633,12.2472041955443,-60.1745102725776
0.8,0.0535167321481709,82961.0552536913,175000,70551.6037810081,77643.443258425,904098.270639837,890530.629262935,998856.334248368,12.1641750913262,-59.6847978394239
0.81,0.0541856913000231,82961.0552536913,175000,71407.9833915404,78532.9708051823,904098.270639837,890530.629262935,998117.511543238,12.0812107686121,-59.1954380619769
0.82,0.0548546504518752,82961.0552536913,175000,72263.7463349698,79420.5942887974,904098.270639837,890530.629262935,997379.265271611,11.9983111751149,-58.7064306657315
0.83,0.0555236096037273,82961.0552536913,175000,73118.8930912906,80306.3171089863,904098.270639837,890530.629262935,996641.59496824,11.9154762585908,-58.2177753764054
0.84,0.0561925687555795,82961.0552536913,175000,73973.4241401079,81190.1426596507,904098.270639837,890530.629262935,995904.500168261,11.8327059668392,-57.7294719199383
0.85,0.0568615279074316,82961.0552536913,175000,74827.3399606381,82072.0743288878,904098.270639837,890530.629262935,995167.980407197,11.7500002477025,-57.2415200224925
0.86,0.0575304870592837,82961.0552536913,175000,75680.6410317088,82952.115499,904098.270639837,890530.629262935,994432.03522095,11.6673590490662,-56.7539194104521
0.87,0.0581994462111359,82961.0552536913,175000,76533.3278317597,83830.2695465048,904098.270639837,890530.629262935,993696.664145808,11.5847823188586,-56.266669810423
0.88,0.058868405362988,82961.0552536913,175000,77385.4008388424,84706.5398421447,904098.270639837,890530.629262935,992961.866718442,11.5022700050515,-55.7797709492329
0.89,0.0595373645148401,82961.0552536913,175000,78236.8605306212,85580.9297508967,904098.270639837,890530.629262935,992227.642475903,11.419822055659,-55.2932225539308
0.9,0.0602063236666923,82961.0552536913,175000,79087.7073843728,86453.4426319824,904098.270639837,890530.629262935,991493.990955626,11.3374384187386,-54.8070243517869
0.91,0.0608752828185444,82961.0552536913,175000,79937.9418769874,87324.0818388774,904098.270639837,890530.629262935,990760.911695428,11.2551190423905,-54.3211760702929
0.92,0.0615442419703966,82961.0552536913,175000,80787.5644849684,88192.8507193216,904098.270639837,890530.629262935,990028.404233506,11.1728638747577,-53.8356774371609
0.93,0.0622132011222487,82961.0552536913,175000,81636.5756844329,89059.752615328,904098.270639837,890530.629262935,989296.468108441,11.0906728640261,-53.350528180324
