Ffactor,Fbar,Catch_2017,Catch_2018,Catch_2019,Catch_2020,SSB_2018,SSB_2019,SSB_2020,Change_SSB_2019-2020(%),Change_Catch_2018-2019(%)
0,0,82961.0552536913,107000,0,0,904098.270639837,949138.575421129,1121301.08692393,18.13881723503,-100
0.01,0.000668959151852137,82961.0552536913,107000,960.351833262068,1107.46141085958,904098.270639837,949138.575421129,1120465.26060238,18.0507556660242,-99.102474922185
0.02,0.00133791830370427,82961.0552536913,107000,1920.00524336477,2212.59794405933,904098.270639837,949138.575421129,1119630.0898305,17.9627631648757,-98.2056025762946
0.03,0.00200687745555641,82961.0552536913,107000,2878.96077708945,3315.41374463713,904098.270639837,949138.575421129,1118795.57407725,17.8748396756338,-97.3093824513183
0.04,0.00267583660740855,82961.0552536913,107000,3837.21898077251,4415.91295053089,904098.270639837,949138.575421129,1117961.71281202,17.7869851423945,-96.4138140366612
0.05,0.00334479575926068,82961.0552536913,107000,4794.78040030581,5514.09969259059,904098.270639837,949138.575421129,1117128.50550464,17.6991995092998,-95.5188968221441
0.06,0.00401375491111282,82961.0552536913,107000,5751.64558113699,6609.97809459036,904098.270639837,949138.575421129,1116295.95162538,17.6114827205381,-94.6246302980028
0.07,0.00468271406296496,82961.0552536913,107000,6707.81506826991,7703.5522732404,904098.270639837,949138.575421129,1115464.05064495,17.5238347203437,-93.7310139548879
0.08,0.00535167321481709,82961.0552536913,107000,7663.28940626495,8794.82633819905,904098.270639837,949138.575421129,1114632.8020345,17.4362554529975,-92.8380472838645
0.09,0.00602063236666923,82961.0552536913,107000,8618.06913923941,9883.80439208471,904098.270639837,949138.575421129,1113802.2052656,17.3487448628261,-91.9457297764118
0.1,0.00668959151852136,82961.0552536913,107000,9572.15481086791,10970.4905304878,904098.270639837,949138.575421129,1112972.25981029,17.2613028942024,-91.0540609244225
0.11,0.0073585506703735,82961.0552536913,107000,10525.5469643827,12054.8888419827,904098.270639837,949138.575421129,1112142.96514101,17.1739294915453,-90.1630402202031
0.12,0.00802750982222564,82961.0552536913,107000,11478.246142574,13137.0034081397,904098.270639837,949138.575421129,1111314.32073067,17.0866245993198,-89.2726671564729
0.13,0.00869646897407778,82961.0552536913,107000,12430.2528877906,14216.8383035367,904098.270639837,949138.575421129,1110486.32605259,16.9993881620366,-88.382941226364
0.14,0.00936542812592991,82961.0552536913,107000,13381.5677419398,15294.3975957712,904098.270639837,949138.575421129,1109658.98058055,16.9122201242526,-87.4938619234208
0.15,0.010034387277782,82961.0552536913,107000,14332.1912464882,16369.6853454723,904098.270639837,949138.575421129,1108832.28378873,16.8251204305704,-86.6054287415998
0.16,0.0107033464296342,82961.0552536913,107000,15282.1239424619,17442.7056063123,904098.270639837,949138.575421129,1108006.23515179,16.7380890256385,-85.7176411752693
0.17,0.0113723055814863,82961.0552536913,107000,16231.3663704467,18513.4624250186,904098.270639837,949138.575421129,1107180.8341448,16.6511258541513,-84.8304987192087
0.18,0.0120412647333385,82961.0552536913,107000,17179.9190705889,19581.9598413854,904098.270639837,949138.575421129,1106356.08024326,16.5642308608487,-83.9440008686085
0.19,0.0127102238851906,82961.0552536913,107000,18127.7825825951,20648.2018882855,904098.270639837,949138.575421129,1105531.9729231,16.4774039905167,-83.05814711907
