Ffactor,Fbar,Catch_2017,Catch_2018,Catch_2019,Catch_2020,SSB_2018,SSB_2019,SSB_2020,Change_SSB_2019-2020(%),Change_Catch_2018-2019(%)
0,0,82961.0552536913,83000,0,0,904098.270639837,969897.440468741,1143004.83735644,17.8480104869684,-100
0.01,0.000668959151852137,82961.0552536913,83000,979.111740113736,1126.54222367396,904098.270639837,969897.440468741,1142151.54807915,17.7600332182709,-98.8203473010678
0.02,0.00133791830370427,82961.0552536913,83000,1957.51015791788,2250.71392100187,904098.270639837,969897.440468741,1141298.92874397,17.6721250230742,-97.641554026605
0.03,0.00200687745555641,82961.0552536913,83000,2935.19581245502,3372.51932437899,904098.270639837,969897.440468741,1140446.97880781,17.584285845382,-96.4636195030662
0.04,0.00267583660740855,82961.0552536913,83000,3912.16926231253,4491.96265894426,904098.270639837,969897.440468741,1139595.69772799,17.4965156292444,-95.2865430574548
0.05,0.00334479575926068,82961.0552536913,83000,4888.43106562291,5609.04814259265,904098.270639837,969897.440468741,1138745.08496233,17.4088143187578,-94.1103240173218
0.06,0.00401375491111282,82961.0552536913,83000,5863.98178006423,6723.77998598746,904098.270639837,969897.440468741,1137895.13996905,17.3211818580648,-92.934961710766
0.07,0.00468271406296496,82961.0552536913,83000,6838.82196286046,7836.16239257258,904098.270639837,969897.440468741,1137045.86220684,17.2336181913545,-91.7604554664332
0.08,0.00535167321481709,82961.0552536913,83000,7812.95217078185,8946.19955858477,904098.270639837,969897.440468741,1136197.25113485,17.146123262862,-90.5868046135159
0.09,0.00602063236666923,82961.0552536913,83000,8786.37296014533,10053.8956730659,904098.270639837,969897.440468741,1135349.30621267,17.0586970168687,-89.4140084817526
0.1,0.00668959151852136,82961.0552536913,83000,9759.0848868149,11159.254917875,904098.270639837,969897.440468741,1134502.02690031,16.971339397702,-88.2420664014278
0.11,0.0073585506703735,82961.0552536913,83000,10731.0885062019,12262.2814677009,904098.270639837,969897.440468741,1133655.41265828,16.8840503497355,-87.0709777033712
0.12,0.00802750982222564,82961.0552536913,83000,11702.3843732657,13362.9794900739,904098.270639837,969897.440468741,1132809.46294749,16.7968298173889,-85.900741718957
0.13,0.00869646897407778,82961.0552536913,83000,12672.9730425134,14461.3531453782,904098.270639837,969897.440468741,1131964.17722931,16.7096777451279,-84.7313577801043
0.14,0.00936542812592991,82961.0552536913,83000,13642.8550680012,15557.4065868641,904098.270639837,969897.440468741,1131119.55496557,16.6225940774641,-83.5628252192756
0.15,0.010034387277782,82961.0552536913,83000,14612.0310033339,16651.1439606596,904098.270639837,969897.440468741,1130275.59561854,16.5355787589552,-82.3951433694772
0.16,0.0107033464296342,82961.0552536913,83000,15580.5014016656,17742.5694057835,904098.270639837,969897.440468741,1129432.29865092,16.4486317342045,-81.2283115642583
0.17,0.0113723055814863,82961.0552536913,83000,16548.2668157002,18831.6870541562,904098.270639837,969897.440468741,1128589.66352587,16.3617529478617,-80.0623291377106
0.18,0.0120412647333385,82961.0552536913,83000,17515.3277976916,19918.5010306129,904098.270639837,969897.440468741,1127747.68970699,16.2749423446218,-78.897195424468
0.19,0.0127102238851906,82961.0552536913,83000,18481.6848994441,21003.015452915,904098.270639837,969897.440468741,1126906.37665833,16.1881998692258,-77.7329097597059
0.2,0.0133791830370427,82961.0552536913,83000,19447.3386723129,22085.2344317622,904098.270639837,969897.440468741,1126065.72384436,16.1015254664606,-76.569471479141
0.21,0.0140481421888949,82961.0552536913,83000,20412.2896672044,23165.1620708045,904098.270639837,969897.440468741,1125225.73073004,16.0149190811586,-75.4068799190308
0.22,0.014717101340747,82961.0552536913,83000,21376.5384345764,24242.8024666544,904098.270639837,969897.440468741,1124386.39678072,15.9283806581979,-74.245134416173
0.23,0.0153860604925991,82961.0552536913,83000,22340.0855244387,25318.1597088984,904098.270639837,969897.440468741,1123547.72146223,15.8419101425024,-73.0842343079052
0.24,0.0160550196444513,82961.0552536913,83000,23302.9314863533,26391.2378801095,904098.270639837,969897.440468741,1122709.70424082,15.7555074790415,-71.9241789321044
0.25,0.0167239787963034,82961.0552536913,83000,24265.0768694352,27462.0410558586,904098.270639837,969897.440468741,1121872.34458321,15.66917261283,-70.7649676271865
0.26,0.0173929379481556,82961.0552536913,83000,25226.5222223521,28530.5733047267,904098.270639837,969897.440468741,1121035.64195652,15.5829054889285,-69.6065997321059
0.27,0.0180618971000077,82961.0552536913,83000,26187.2680933253,29596.8386883165,904098.270639837,969897.440468741,1120199.59582835,15.496706052443,-68.4490745863551
0.28,0.0187308562518598,82961.0552536913,83000,27147.3150301297,30660.8412612647,904098.270639837,969897.440468741,1119364.20566672,15.4105742485248,-67.2923915299642
0.29,0.019399815403712,82961.0552536913,83000,28106.6635800947,31722.5850712533,904098.270639837,969897.440468741,1118529.47094009,15.3245100223707,-66.1365499035004
0.3,0.0200687745555641,82961.0552536913,83000,29065.3142901038,32782.0741590217,904098.270639837,969897.440468741,1117695.39111737,15.2385133192231,-64.9815490480677
