Ffactor,Fbar,Catch_2017,Catch_2018,Catch_2019,Catch_2020,SSB_2018,SSB_2019,SSB_2020,Change_SSB_2019-2020(%),Change_Catch_2018-2019(%)
0,0,82961.0552536913,45000,0,0,904098.270639837,1002840.07093352,1177391.84778076,17.4057441367248,-100
0.01,0.000668959151852137,82961.0552536913,45000,1008.85217882471,1156.75413755149,904098.270639837,1002840.07093352,1176510.86203739,17.3178950599968,-97.7581062692784
0.02,0.00133791830370427,82961.0552536913,45000,2016.96739222675,2311.06538522399,904098.270639837,1002840.07093352,1175630.5690797,17.2301150656386,-95.5178502394961
0.03,0.00200687745555641,82961.0552536913,45000,3024.34621871882,3462.93811400576,904098.270639837,1002840.07093352,1174750.96834544,17.1424040975837,-93.2792306250693
0.04,0.00267583660740855,82961.0552536913,45000,4030.98923634204,4612.37668738062,904098.270639837,1002840.07093352,1173872.05927282,17.0547620998122,-91.0422461414621
0.05,0.00334479575926068,82961.0552536913,45000,5036.89702266637,5759.38546134064,904098.270639837,1002840.07093352,1172993.84130052,16.9671890163505,-88.8068955051858
0.06,0.00401375491111282,82961.0552536913,45000,6042.07015479095,6903.9687843989,904098.270639837,1002840.07093352,1172116.31386766,16.8796847912713,-86.5731774337979
0.07,0.00468271406296496,82961.0552536913,45000,7046.50920934454,8046.13099760222,904098.270639837,1002840.07093352,1171239.47641386,16.7922493686937,-84.341090645901
0.08,0.00535167321481709,82961.0552536913,45000,8050.2147624859,9185.87643454383,904098.270639837,1002840.07093352,1170363.32837919,16.7048826927834,-82.1106338611424
0.09,0.00602063236666923,82961.0552536913,45000,9053.18738990416,10323.209421376,904098.270639837,1002840.07093352,1169487.86920418,16.617584707752,-79.881805800213
0.1,0.00668959151852136,82961.0552536913,45000,10055.4276668192,11458.1342768229,904098.270639837,1002840.07093352,1168613.09832982,16.5303553578575,-77.6546051848461
0.11,0.0073585506703735,82961.0552536913,45000,11056.9361679822,12590.6553121928,904098.270639837,1002840.07093352,1167739.01519758,16.4431945874041,-75.4290307378172
