Ffactor,Fbar,Catch_2017,Catch_2018,Catch_2019,Catch_2020,SSB_2018,SSB_2019,SSB_2020,Change_SSB_2019-2020(%),Change_Catch_2018-2019(%)
0,0,82961.0552536913,64000,0,0,904098.270639837,986357.553574551,1160194.93371834,17.6241748759164,-100
0.01,0.000668959151852137,82961.0552536913,64000,993.976351357605,1141.64809246486,904098.270639837,986357.553574551,1159327.80324681,17.5362624887312,-98.4469119510037
0.02,0.00133791830370427,82961.0552536913,64000,1987.22756680125,2280.88948982201,904098.270639837,986357.553574551,1158461.35413082,17.4484191794919,-96.894956926873
0.03,0.00200687745555641,82961.0552536913,64000,2979.75421510007,3417.72849372147,904098.270639837,986357.553574551,1157595.58581769,17.3606448921669,-95.3441340389061
0.04,0.00267583660740855,82961.0552536913,64000,3971.55686455981,4552.169398433,904098.270639837,986357.553574551,1156730.49775522,17.2729395707707,-93.7944423991253
0.05,0.00334479575926068,82961.0552536913,64000,4962.6360830232,5684.21649085857,904098.270639837,986357.553574551,1155866.08939163,17.1853031593645,-92.2458811202763
0.06,0.00401375491111282,82961.0552536913,64000,5952.99243787036,6813.87405054493,904098.270639837,986357.553574551,1155002.36017563,17.0977356020557,-90.6984493158276
0.07,0.00468271406296496,82961.0552536913,64000,6942.62649601919,7941.14634969608,904098.270639837,986357.553574551,1154139.30955638,17.0102368429979,-89.15214609997
0.08,0.00535167321481709,82961.0552536913,64000,7931.53882392572,9066.03765318577,904098.270639837,986357.553574551,1153276.93698349,16.9228068263911,-87.606970587616
0.09,0.00602063236666923,82961.0552536913,64000,8919.72998758453,10188.5522185699,904098.270639837,986357.553574551,1152415.24190702,16.8354454964816,-86.0629218943992
0.1,0.00668959151852136,82961.0552536913,64000,9907.2005525291,11308.6942960991,904098.270639837,986357.553574551,1151554.22377751,16.7481527975617,-84.5199991366733
0.11,0.0073585506703735,82961.0552536913,64000,10893.9510838322,12426.4681287308,904098.270639837,986357.553574551,1150693.88204592,16.6609286739699,-82.9782014315121
0.12,0.00802750982222564,82961.0552536913,64000,11879.9821461065,13541.877952142,904098.270639837,986357.553574551,1149834.2161637,16.5737730700909,-81.4375278967086
0.13,0.00869646897407778,82961.0552536913,64000,12865.2943035043,14654.9279947417,904098.270639837,986357.553574551,1148975.22558272,16.4866859303555,-79.8979776507745
0.14,0.00936542812592991,82961.0552536913,64000,13849.8881197188,15765.6224776825,904098.270639837,986357.553574551,1148116.90975535,16.3996671992404,-78.3595498129394
0.15,0.010034387277782,82961.0552536913,64000,14833.7641579838,16873.9656148741,904098.270639837,986357.553574551,1147259.26813436,16.3127168212682,-76.8222435031503
0.16,0.0107033464296342,82961.0552536913,64000,15816.9229810744,17979.9616129944,904098.270639837,986357.553574551,1146402.300173,16.2258347410078,-75.2860578420713
0.17,0.0113723055814863,82961.0552536913,64000,16799.3651513072,19083.6146715027,904098.270639837,986357.553574551,1145546.00532499,16.1390209030738,-73.7509919510825
0.18,0.0120412647333385,82961.0552536913,64000,17781.091230541,20184.9289826516,904098.270639837,986357.553574551,1144690.38304448,16.0522752521266,-72.2170449522797
0.19,0.0127102238851906,82961.0552536913,64000,18762.1017801768,21283.9087314991,904098.270639837,986357.553574551,1143835.43278607,15.9655977328726,-70.6842159684738
0.2,0.0133791830370427,82961.0552536913,64000,19742.3973611583,22380.5580959211,904098.270639837,986357.553574551,1142981.15400481,15.8789882900639,-69.1525041231902
0.21,0.0140481421888949,82961.0552536913,64000,20721.9785339725,23474.8812466235,904098.270639837,986357.553574551,1142127.54615623,15.7924468684985,-67.621908540668
0.22,0.014717101340747,82961.0552536913,64000,21700.8458586497,24566.8823471543,904098.270639837,986357.553574551,1141274.60869628,15.7059734130199,-66.0924283458598
0.23,0.0153860604925991,82961.0552536913,64000,22678.9998947644,25656.5655539159,904098.270639837,986357.553574551,1140422.34108138,15.6195678685175,-64.5640626644306
0.24,0.0160550196444513,82961.0552536913,64000,23656.441201435,26743.9350161771,904098.270639837,986357.553574551,1139570.74276838,15.5332301799263,-63.0368106227577
0.25,0.0167239787963034,82961.0552536913,64000,24633.1703373249,27828.9948760854,904098.270639837,986357.553574551,1138719.81321459,15.4469602922267,-61.5106713479298
0.26,0.0173929379481556,82961.0552536913,64000,25609.1878606422,28911.7492686789,904098.270639837,986357.553574551,1137869.55187778,15.3607581504451,-59.9856439677465
0.27,0.0180618971000077,82961.0552536913,64000,26584.4943291407,29992.2023218984,904098.270639837,986357.553574551,1137019.95821617,15.2746236996529,-58.4617276107176
0.28,0.0187308562518598,82961.0552536913,64000,27559.0903001198,31070.3581565997,904098.270639837,986357.553574551,1136171.0316884,15.1885568849675,-56.9389214060628
0.29,0.019399815403712,82961.0552536913,64000,28532.9763304251,32146.2208865653,904098.270639837,986357.553574551,1135322.77175358,15.1025576515514,-55.4172244837108
0.3,0.0200687745555641,82961.0552536913,64000,29506.1529764487,33219.7946185168,904098.270639837,986357.553574551,1134475.17787127,15.0166259446127,-53.8966359742989
0.31,0.0207377337074162,82961.0552536913,64000,30478.6207941298,34291.0834521263,904098.270639837,986357.553574551,1133628.24950148,14.9307617094048,-52.3771550091722
0.32,0.0214066928592684,82961.0552536913,64000,31450.3803389548,35360.0914800291,904098.270639837,986357.553574551,1132781.98610465,14.8449648912264,-50.8587807203832
0.33,0.0220756520111205,82961.0552536913,64000,32421.4321659576,36426.8227878351,904098.270639837,986357.553574551,1131936.38714168,14.7592354354217,-49.3415122406913
0.34,0.0227446111629726,82961.0552536913,64000,33391.7768297204,37491.2814541411,904098.270639837,986357.553574551,1131091.45207392,14.6735732873799,-47.8253487035619
0.35,0.0234135703148248,82961.0552536913,64000,34361.4148843737,38553.4715505424,904098.270639837,986357.553574551,1130247.18036315,14.5879783925357,-46.310289243166
0.36,0.0240825294666769,82961.0552536913,64000,35330.346883597,39613.397141645,904098.270639837,986357.553574551,1129403.57147161,14.5024506963688,-44.7963329943797
