Ffactor,Fbar,Catch_2017,Catch_2018,Catch_2019,Catch_2020,SSB_2018,SSB_2019,SSB_2020,Change_SSB_2019-2020(%),Change_Catch_2018-2019(%)
0,0,82961.0552536913,136000,0,0,904098.270639837,924105.39002574,1095091.2631865,18.5028542205556,-100
0.01,0.000668959151852137,82961.0552536913,136000,937.708849606591,1084.40591288257,904098.270639837,924105.39002574,1094276.50619828,18.4146871135341,-99.3105081988187
0.02,0.00133791830370427,82961.0552536913,136000,1874.73724347531,2166.54204828528,904098.270639837,924105.39002574,1093462.38740648,18.3265890675111,-98.6215167327387
0.03,0.00200687745555641,82961.0552536913,136000,2811.08571360999,3246.41244587686,904098.270639837,924105.39002574,1092648.90629457,18.2385600265931,-97.9330252105809
0.04,0.00267583660740855,82961.0552536913,136000,3746.75479158195,4324.02113841458,904098.270639837,924105.39002574,1091836.06234646,18.1505999349329,-97.2450332414839
0.05,0.00334479575926068,82961.0552536913,136000,4681.74500853032,5399.37215175592,904098.270639837,924105.39002574,1091023.8550465,18.0627087367292,-96.5575404349042
0.06,0.00401375491111282,82961.0552536913,136000,5616.05689516242,6472.46950487028,904098.270639837,924105.39002574,1090212.28387946,17.9748863762272,-95.8705464006159
0.07,0.00468271406296496,82961.0552536913,136000,6549.69098175414,7543.31720985069,904098.270639837,924105.39002574,1089401.34833051,17.8871327977179,-95.1840507487102
0.08,0.00535167321481709,82961.0552536913,136000,7482.64779815026,8611.91927192545,904098.270639837,924105.39002574,1088591.04788529,17.7994479455386,-94.4980530895954
0.09,0.00602063236666923,82961.0552536913,136000,8414.92787376482,9678.27968946975,904098.270639837,924105.39002574,1087781.38202983,17.7118317640727,-93.8125530339965
0.1,0.00668959151852136,82961.0552536913,136000,9346.53173758151,10742.4024540173,904098.270639837,924105.39002574,1086972.3502506,17.6242841977493,-93.1275501929548
0.11,0.0073585506703735,82961.0552536913,136000,10277.459918154,11804.291550272,904098.270639837,924105.39002574,1086163.95203449,17.5368051910437,-92.443044177828
0.12,0.00802750982222564,82961.0552536913,136000,11207.7129436062,12863.9509561194,904098.270639837,924105.39002574,1085356.18686882,17.449394688477,-91.7590346002896
0.13,0.00869646897407778,82961.0552536913,136000,12137.2913416329,13921.3846426383,904098.270639837,924105.39002574,1084549.05424134,17.3620526346164,-91.0755210723288
0.14,0.00936542812592991,82961.0552536913,136000,13066.1956394998,14976.5965741123,904098.270639837,924105.39002574,1083742.5536402,17.2747789740746,-90.3925032062502
0.15,0.010034387277782,82961.0552536913,136000,13994.4263640441,16029.5907080416,904098.270639837,924105.39002574,1082936.68455399,17.1875736515105,-89.7099806146735
0.16,0.0107033464296342,82961.0552536913,136000,14921.9840416747,17080.3709951538,904098.270639837,924105.39002574,1082131.44647173,17.1004366116283,-89.0279529105333
0.17,0.0113723055814863,82961.0552536913,136000,15848.8691983726,18128.9413794161,904098.270639837,924105.39002574,1081326.83888285,17.0133677991783,-88.346419707079
0.18,0.0120412647333385,82961.0552536913,136000,16775.0823596914,19175.3057980465,904098.270639837,924105.39002574,1080522.8612772,16.9263671589565,-87.665380617874
0.19,0.0127102238851906,82961.0552536913,136000,17700.6240507575,20219.4681815252,904098.270639837,924105.39002574,1079719.51314507,16.8394346358043,-86.984835256796
0.2,0.0133791830370427,82961.0552536913,136000,18625.4947962704,21261.4324536058,904098.270639837,924105.39002574,1078916.79397715,16.7525701746089,-86.3047832380365
0.21,0.0140481421888949,82961.0552536913,136000,19549.6951205032,22301.2025313273,904098.270639837,924105.39002574,1078114.70326455,16.6657737203031,-85.6252241761006
0.22,0.014717101340747,82961.0552536913,136000,20473.225547303,23338.782325025,904098.270639837,924105.39002574,1077313.24049883,16.579045217865,-84.9461576858067
