Ffactor,Fbar,Catch_2017,Catch_2018,Catch_2019,Catch_2020,SSB_2018,SSB_2019,SSB_2020,Change_SSB_2019-2020(%),Change_Catch_2018-2019(%)
0,0,82961.0552536913,182000,0,0,904098.270639837,884515.75240067,1053553.81213706,19.1108026372169,-100
0.01,0.000668959151852137,82961.0552536913,182000,901.851487458988,1047.83641298878,904098.270639837,884515.75240067,1052772.40104103,19.0224592590569,-99.5044772046929
0.02,0.00133791830370427,82961.0552536913,182000,1803.05093571121,2093.49031122658,904098.270639837,884515.75240067,1051991.60070351,18.9341849309405,-99.0093126726861
0.03,0.00200687745555641,82961.0552536913,182000,2703.59885340949,3136.96556768423,904098.270639837,884515.75240067,1051211.41063095,18.8459795970682,-98.5145061245003
0.04,0.00267583660740855,82961.0552536913,182000,3603.49574879374,4178.26604871908,904098.270639837,884515.75240067,1050431.83033021,18.7578432016869,-98.0200572808826
0.05,0.00334479575926068,82961.0552536913,182000,4502.74212969121,5217.3956140861,904098.270639837,884515.75240067,1049652.85930854,18.6697756890895,-97.525965862807
0.06,0.00401375491111282,82961.0552536913,182000,5401.33850351695,6254.35811694909,904098.270639837,884515.75240067,1048874.49707361,18.5817770036148,-97.0322315914742
0.07,0.00468271406296496,82961.0552536913,182000,6299.28537727403,7289.15740389188,904098.270639837,884515.75240067,1048096.7431335,18.4938470896476,-96.538854188311
0.08,0.00535167321481709,82961.0552536913,182000,7196.58325755399,8321.79731492942,904098.270639837,884515.75240067,1047319.59699668,18.4059858916188,-96.0458333749703
0.09,0.00602063236666923,82961.0552536913,182000,8093.2326505371,9352.28168351892,904098.270639837,884515.75240067,1046543.05817206,18.3181933540051,-95.5531688733313
0.1,0.00668959151852136,82961.0552536913,182000,8989.23406199277,10380.614336571,904098.270639837,884515.75240067,1045767.12616891,18.230469421329,-95.0608604054985
0.11,0.0073585506703735,82961.0552536913,182000,9884.58799727982,11406.7990944606,904098.270639837,884515.75240067,1044991.80049695,18.142814038159,-94.5689076938023
0.12,0.00802750982222564,82961.0552536913,182000,10779.2949613469,12430.8397710384,904098.270639837,884515.75240067,1044217.08066626,18.0552271491092,-94.0773104607984
0.13,0.00869646897407778,82961.0552536913,182000,11673.3554587327,13452.7401736416,904098.270639837,884515.75240067,1043442.96618737,17.9677086988398,-93.5860684292677
0.14,0.00936542812592991,82961.0552536913,182000,12566.7699935666,14472.5041031047,904098.270639837,884515.75240067,1042669.45657119,17.8802586320562,-93.0951813222162
0.15,0.010034387277782,82961.0552536913,182000,13459.5390695685,15490.1353537712,904098.270639837,884515.75240067,1041896.55132902,17.79287689351,-92.6046488628745
0.16,0.0107033464296342,82961.0552536913,182000,14351.6631900496,16505.637713504,904098.270639837,884515.75240067,1041124.2499726,17.705563427998,-92.114470774698
0.17,0.0113723055814863,82961.0552536913,182000,15243.1428579127,17519.0149636966,904098.270639837,884515.75240067,1040352.55201405,17.618318180363,-91.6246467813667
0.18,0.0120412647333385,82961.0552536913,182000,16133.9785756522,18530.2708792841,904098.270639837,884515.75240067,1039581.45696589,17.531141095493,-91.1351766067845
0.19,0.0127102238851906,82961.0552536913,182000,17024.1708453547,19539.4092287541,904098.270639837,884515.75240067,1038810.96434106,17.4440321183218,-90.6460599750798
0.2,0.0133791830370427,82961.0552536913,182000,17913.7201686996,20546.4337741573,904098.270639837,884515.75240067,1038041.07365288,17.3569911938286,-90.1572966106046
0.21,0.0140481421888949,82961.0552536913,182000,18802.6270469589,21551.348271119,904098.270639837,884515.75240067,1037271.78441509,17.2700182670379,-89.6688862379347
0.22,0.014717101340747,82961.0552536913,182000,19690.8919809976,22554.1564688495,904098.270639837,884515.75240067,1036503.09614183,17.1831132830199,-89.1808285818694
0.23,0.0153860604925991,82961.0552536913,182000,20578.5154712747,23554.8621101552,904098.270639837,884515.75240067,1035735.00834764,17.09627618689,-88.6931233674315
0.24,0.0160550196444513,82961.0552536913,182000,21465.4980178427,24553.4689314494,904098.270639837,884515.75240067,1034967.52054744,17.0095069238088,-88.2057703198666
0.25,0.0167239787963034,82961.0552536913,182000,22351.8401203484,25549.9806627629,904098.270639837,884515.75240067,1034200.63225659,16.9228054389826,-87.7187691646437
0.26,0.0173929379481556,82961.0552536913,182000,23237.5422780332,26544.4010277553,904098.270639837,884515.75240067,1033434.34299081,16.8361716776624,-87.2321196274543
0.27,0.0180618971000077,82961.0552536913,182000,24122.6049897332,27536.7337437252,904098.270639837,884515.75240067,1032668.65226626,16.749605585145,-86.7458214342125
0.28,0.0187308562518598,82961.0552536913,182000,25007.0287538799,28526.9825216215,904098.270639837,884515.75240067,1031903.55959946,16.663107106772,-86.259874311055
0.29,0.019399815403712,82961.0552536913,182000,25890.8140685003,29515.1510660537,904098.270639837,884515.75240067,1031139.06450736,16.5766761879303,-85.7742779843405
0.3,0.0200687745555641,82961.0552536913,182000,26773.9614312172,30501.2430753031,904098.270639837,884515.75240067,1030375.1665073,16.4903127740518,-85.2890321806499
0.31,0.0207377337074162,82961.0552536913,182000,27656.4713392496,31485.262241333,904098.270639837,884515.75240067,1029611.865117,16.4040168106136,-84.8041366267859
0.32,0.0214066928592684,82961.0552536913,182000,28538.3442894133,32467.2122497999,904098.270639837,884515.75240067,1028849.15985461,16.3177882431377,-84.3195910497729
0.33,0.0220756520111205,82961.0552536913,182000,29419.5807781206,33447.0967800637,904098.270639837,884515.75240067,1028087.05023865,16.2316270171913,-83.8353951768568
0.34,0.0227446111629726,82961.0552536913,182000,30300.1813013814,34424.9195051988,904098.270639837,884515.75240067,1027325.53578806,16.1455330783863,-83.3515487355047
0.35,0.0234135703148248,82961.0552536913,182000,31180.1463548029,35400.6840920045,904098.270639837,884515.75240067,1026564.61602216,16.0595063723796,-82.868051453405
0.36,0.0240825294666769,82961.0552536913,182000,32059.4764335904,36374.3942010156,904098.270639837,884515.75240067,1025804.29046067,15.9735468448731,-82.3849030584668
0.37,0.024751488618529,82961.0552536913,182000,32938.1720325471,37346.0534865132,904098.270639837,884515.75240067,1025044.55862373,15.8876544416135,-81.9021032788203
0.38,0.0254204477703812,82961.0552536913,182000,33816.2336460752,38315.6655965349,904098.270639837,884515.75240067,1024285.42003183,15.8018291083923,-81.4196518428158
0.39,0.0260894069222333,82961.0552536913,182000,34693.6617681754,39283.2341728861,904098.270639837,884515.75240067,1023526.87420591,15.7160707910455,-80.9375484790245
0.4,0.0267583660740855,82961.0552536913,182000,35570.4568924478,40248.7628511496,904098.270639837,884515.75240067,1022768.92066726,15.6303794354543,-80.4557929162375
0.41,0.0274273252259376,82961.0552536913,182000,36446.6195120922,41212.255260697,904098.270639837,884515.75240067,1022011.55893759,15.5447549875443,-79.9743848834658
0.42,0.0280962843777897,82961.0552536913,182000,37322.1501199079,42173.7150246987,904098.270639837,884515.75240067,1021254.788539,15.4591973932858,-79.4933241099407
0.43,0.0287652435296419,82961.0552536913,182000,38197.0492082949,43133.1457601345,904098.270639837,884515.75240067,1020498.60899398,15.3737065986937,-79.0126103251127
0.44,0.029434202681494,82961.0552536913,182000,39071.3172692534,44090.5510778042,904098.270639837,884515.75240067,1019743.01982542,15.2882825498275,-78.532243258652
0.45,0.0301031618333461,82961.0552536913,182000,39944.9547943846,45045.9345823379,904098.270639837,884515.75240067,1018988.0205566,15.2029251927914,-78.052222640448
0.46,0.0307721209851983,82961.0552536913,182000,40817.962274891,45999.2998722067,904098.270639837,884515.75240067,1018233.6107112,15.1176344737338,-77.5725482006093
0.47,0.0314410801370504,82961.0552536913,182000,41690.3402015766,46950.6505397328,904098.270639837,884515.75240067,1017479.78981329,15.0324103388478,-77.0932196694634
0.48,0.0321100392889026,82961.0552536913,182000,42562.0890648471,47899.9901711003,904098.270639837,884515.75240067,1016726.55738732,14.9472527343709,-76.6142367775565
0.49,0.0327789984407547,82961.0552536913,182000,43433.2093547108,48847.3223463651,904098.270639837,884515.75240067,1015973.91295816,14.862161606585,-76.1355992556534
